[ppo seed=0] training 500000 steps on cuda ...
[ppo ] step  100352/500000 | vs random 0.95 vs negamax 0.34 (p1 0.34/p2 0.34) | ploss -0.021 vloss 0.486 ent 0.71 | mix r/n/s 0.53/0.29/0.18 lr 2.7e-04 | 72 st/s
[ppo ] step  102400/500000 | vs random 0.97 vs negamax 0.42 (p1 0.52/p2 0.32) | ploss -0.018 vloss 0.462 ent 0.73 | mix r/n/s 0.52/0.30/0.18 lr 2.7e-04 | 72 st/s
[ppo ] step  104448/500000 | vs random 0.93 vs negamax 0.43 (p1 0.60/p2 0.26) | ploss -0.022 vloss 0.480 ent 0.79 | mix r/n/s 0.52/0.30/0.18 lr 2.7e-04 | 72 st/s
[ppo ] step  106496/500000 | vs random 0.92 vs negamax 0.34 (p1 0.40/p2 0.28) | ploss -0.026 vloss 0.486 ent 0.82 | mix r/n/s 0.51/0.30/0.18 lr 2.7e-04 | 73 st/s
[ppo ] step  108544/500000 | vs random 0.96 vs negamax 0.37 (p1 0.30/p2 0.44) | ploss -0.023 vloss 0.524 ent 0.84 | mix r/n/s 0.51/0.31/0.18 lr 2.7e-04 | 73 st/s
[ppo ] step  110592/500000 | vs random 0.93 vs negamax 0.41 (p1 0.50/p2 0.32) | ploss -0.027 vloss 0.521 ent 0.85 | mix r/n/s 0.50/0.31/0.18 lr 2.7e-04 | 73 st/s
[ppo ] step  112640/500000 | vs random 0.99 vs negamax 0.39 (p1 0.44/p2 0.34) | ploss -0.023 vloss 0.440 ent 0.84 | mix r/n/s 0.50/0.31/0.19 lr 2.7e-04 | 73 st/s
[ppo ] step  114688/500000 | vs random 0.99 vs negamax 0.44 (p1 0.52/p2 0.36) | ploss -0.024 vloss 0.520 ent 0.87 | mix r/n/s 0.50/0.32/0.19 lr 2.7e-04 | 74 st/s
[ppo ] step  116736/500000 | vs random 0.98 vs negamax 0.53 (p1 0.54/p2 0.52) | ploss -0.024 vloss 0.533 ent 0.79 | mix r/n/s 0.49/0.32/0.19 lr 2.7e-04 | 74 st/s
[ppo ] step  118784/500000 | vs random 0.97 vs negamax 0.57 (p1 0.64/p2 0.50) | ploss -0.022 vloss 0.524 ent 0.76 | mix r/n/s 0.49/0.32/0.19 lr 2.6e-04 | 74 st/s
[ppo ] step  120832/500000 | vs random 0.99 vs negamax 0.60 (p1 0.76/p2 0.44) | ploss -0.028 vloss 0.455 ent 0.69 | mix r/n/s 0.48/0.33/0.19 lr 2.6e-04 | 75 st/s
[ppo ] step  122880/500000 | vs random 0.98 vs negamax 0.53 (p1 0.62/p2 0.44) | ploss -0.016 vloss 0.456 ent 0.68 | mix r/n/s 0.48/0.33/0.19 lr 2.6e-04 | 75 st/s
[ppo ] step  124928/500000 | vs random 0.97 vs negamax 0.59 (p1 0.68/p2 0.50) | ploss -0.006 vloss 0.538 ent 0.64 | mix r/n/s 0.47/0.33/0.19 lr 2.6e-04 | 75 st/s
[ppo ] step  126976/500000 | vs random 0.99 vs negamax 0.55 (p1 0.66/p2 0.44) | ploss -0.014 vloss 0.456 ent 0.67 | mix r/n/s 0.47/0.34/0.20 lr 2.6e-04 | 76 st/s
[ppo ] step  129024/500000 | vs random 1.00 vs negamax 0.62 (p1 0.66/p2 0.58) | ploss -0.026 vloss 0.477 ent 0.68 | mix r/n/s 0.46/0.34/0.20 lr 2.6e-04 | 76 st/s
[ppo ] step  131072/500000 | vs random 0.97 vs negamax 0.56 (p1 0.64/p2 0.48) | ploss -0.024 vloss 0.472 ent 0.71 | mix r/n/s 0.46/0.34/0.20 lr 2.6e-04 | 76 st/s
[ppo ] step  133120/500000 | vs random 0.97 vs negamax 0.71 (p1 0.72/p2 0.70) | ploss -0.015 vloss 0.483 ent 0.73 | mix r/n/s 0.45/0.35/0.20 lr 2.6e-04 | 76 st/s
[ppo ] step  135168/500000 | vs random 0.97 vs negamax 0.67 (p1 0.76/p2 0.58) | ploss -0.020 vloss 0.460 ent 0.70 | mix r/n/s 0.45/0.35/0.20 lr 2.5e-04 | 77 st/s
[ppo ] step  137216/500000 | vs random 0.98 vs negamax 0.65 (p1 0.68/p2 0.62) | ploss -0.016 vloss 0.557 ent 0.69 | mix r/n/s 0.45/0.35/0.20 lr 2.5e-04 | 77 st/s
[ppo ] step  139264/500000 | vs random 0.98 vs negamax 0.67 (p1 0.70/p2 0.64) | ploss -0.020 vloss 0.482 ent 0.68 | mix r/n/s 0.44/0.35/0.20 lr 2.5e-04 | 77 st/s
[ppo ] step  141312/500000 | vs random 0.95 vs negamax 0.68 (p1 0.68/p2 0.68) | ploss -0.021 vloss 0.553 ent 0.74 | mix r/n/s 0.44/0.36/0.21 lr 2.5e-04 | 77 st/s
[ppo ] step  143360/500000 | vs random 0.96 vs negamax 0.73 (p1 0.80/p2 0.66) | ploss -0.018 vloss 0.455 ent 0.71 | mix r/n/s 0.43/0.36/0.21 lr 2.5e-04 | 78 st/s
[ppo ] step  145408/500000 | vs random 0.95 vs negamax 0.57 (p1 0.70/p2 0.44) | ploss -0.020 vloss 0.488 ent 0.75 | mix r/n/s 0.43/0.36/0.21 lr 2.5e-04 | 78 st/s
[ppo ] step  147456/500000 | vs random 0.98 vs negamax 0.74 (p1 0.76/p2 0.72) | ploss -0.021 vloss 0.524 ent 0.73 | mix r/n/s 0.43/0.37/0.21 lr 2.5e-04 | 78 st/s
[ppo ] step  149504/500000 | vs random 0.93 vs negamax 0.68 (p1 0.74/p2 0.62) | ploss -0.020 vloss 0.452 ent 0.77 | mix r/n/s 0.42/0.37/0.21 lr 2.4e-04 | 78 st/s
[ppo ] step  151552/500000 | vs random 0.97 vs negamax 0.57 (p1 0.70/p2 0.44) | ploss -0.021 vloss 0.485 ent 0.73 | mix r/n/s 0.42/0.37/0.21 lr 2.4e-04 | 78 st/s
[ppo ] step  153600/500000 | vs random 0.96 vs negamax 0.62 (p1 0.62/p2 0.62) | ploss -0.018 vloss 0.505 ent 0.70 | mix r/n/s 0.41/0.37/0.21 lr 2.4e-04 | 78 st/s
[ppo ] step  155648/500000 | vs random 0.98 vs negamax 0.73 (p1 0.72/p2 0.74) | ploss -0.017 vloss 0.442 ent 0.70 | mix r/n/s 0.41/0.38/0.21 lr 2.4e-04 | 78 st/s
[ppo ] step  157696/500000 | vs random 0.94 vs negamax 0.70 (p1 0.76/p2 0.64) | ploss -0.024 vloss 0.433 ent 0.68 | mix r/n/s 0.41/0.38/0.22 lr 2.4e-04 | 78 st/s
[ppo ] step  159744/500000 | vs random 0.96 vs negamax 0.63 (p1 0.82/p2 0.44) | ploss -0.022 vloss 0.424 ent 0.68 | mix r/n/s 0.40/0.38/0.22 lr 2.4e-04 | 79 st/s
[ppo ] step  161792/500000 | vs random 0.98 vs negamax 0.66 (p1 0.74/p2 0.58) | ploss -0.019 vloss 0.372 ent 0.66 | mix r/n/s 0.40/0.38/0.22 lr 2.4e-04 | 79 st/s
[ppo ] step  163840/500000 | vs random 0.95 vs negamax 0.74 (p1 0.86/p2 0.62) | ploss -0.023 vloss 0.449 ent 0.63 | mix r/n/s 0.39/0.39/0.22 lr 2.3e-04 | 79 st/s
[ppo ] step  165888/500000 | vs random 0.99 vs negamax 0.60 (p1 0.64/p2 0.56) | ploss -0.017 vloss 0.458 ent 0.62 | mix r/n/s 0.39/0.39/0.22 lr 2.3e-04 | 79 st/s
[ppo ] step  167936/500000 | vs random 0.97 vs negamax 0.65 (p1 0.66/p2 0.64) | ploss -0.023 vloss 0.448 ent 0.65 | mix r/n/s 0.39/0.39/0.22 lr 2.3e-04 | 79 st/s
[ppo ] step  169984/500000 | vs random 0.97 vs negamax 0.67 (p1 0.74/p2 0.60) | ploss -0.021 vloss 0.472 ent 0.63 | mix r/n/s 0.38/0.39/0.22 lr 2.3e-04 | 80 st/s
[ppo ] step  172032/500000 | vs random 0.95 vs negamax 0.70 (p1 0.78/p2 0.62) | ploss -0.020 vloss 0.560 ent 0.63 | mix r/n/s 0.38/0.40/0.22 lr 2.3e-04 | 80 st/s
[ppo ] step  174080/500000 | vs random 0.99 vs negamax 0.78 (p1 0.88/p2 0.68) | ploss -0.014 vloss 0.462 ent 0.63 | mix r/n/s 0.38/0.40/0.22 lr 2.3e-04 | 80 st/s
[ppo ] step  176128/500000 | vs random 0.95 vs negamax 0.72 (p1 0.82/p2 0.62) | ploss -0.016 vloss 0.362 ent 0.59 | mix r/n/s 0.37/0.40/0.23 lr 2.3e-04 | 80 st/s
[ppo ] step  178176/500000 | vs random 0.95 vs negamax 0.71 (p1 0.68/p2 0.74) | ploss -0.024 vloss 0.404 ent 0.60 | mix r/n/s 0.37/0.40/0.23 lr 2.2e-04 | 80 st/s
[ppo ] step  180224/500000 | vs random 0.97 vs negamax 0.77 (p1 0.86/p2 0.68) | ploss -0.016 vloss 0.428 ent 0.56 | mix r/n/s 0.37/0.41/0.23 lr 2.2e-04 | 80 st/s
[ppo ] step  182272/500000 | vs random 0.97 vs negamax 0.69 (p1 0.80/p2 0.58) | ploss -0.018 vloss 0.383 ent 0.59 | mix r/n/s 0.36/0.41/0.23 lr 2.2e-04 | 81 st/s
[ppo ] step  184320/500000 | vs random 0.97 vs negamax 0.75 (p1 0.82/p2 0.68) | ploss -0.018 vloss 0.468 ent 0.57 | mix r/n/s 0.36/0.41/0.23 lr 2.2e-04 | 81 st/s
[ppo ] step  186368/500000 | vs random 1.00 vs negamax 0.77 (p1 0.82/p2 0.72) | ploss -0.017 vloss 0.482 ent 0.58 | mix r/n/s 0.36/0.41/0.23 lr 2.2e-04 | 81 st/s
[ppo ] step  188416/500000 | vs random 0.97 vs negamax 0.75 (p1 0.88/p2 0.62) | ploss -0.009 vloss 0.449 ent 0.51 | mix r/n/s 0.35/0.42/0.23 lr 2.2e-04 | 81 st/s
[ppo ] step  190464/500000 | vs random 0.96 vs negamax 0.72 (p1 0.70/p2 0.74) | ploss -0.017 vloss 0.406 ent 0.56 | mix r/n/s 0.35/0.42/0.23 lr 2.1e-04 | 81 st/s
[ppo ] step  192512/500000 | vs random 1.00 vs negamax 0.71 (p1 0.80/p2 0.62) | ploss -0.016 vloss 0.388 ent 0.53 | mix r/n/s 0.35/0.42/0.23 lr 2.1e-04 | 82 st/s
[ppo ] step  194560/500000 | vs random 0.97 vs negamax 0.68 (p1 0.74/p2 0.62) | ploss -0.023 vloss 0.381 ent 0.54 | mix r/n/s 0.34/0.42/0.24 lr 2.1e-04 | 82 st/s
[ppo ] step  196608/500000 | vs random 0.97 vs negamax 0.82 (p1 0.90/p2 0.74) | ploss -0.018 vloss 0.354 ent 0.55 | mix r/n/s 0.34/0.42/0.24 lr 2.1e-04 | 82 st/s
[ppo ] step  198656/500000 | vs random 0.98 vs negamax 0.73 (p1 0.90/p2 0.56) | ploss -0.016 vloss 0.411 ent 0.54 | mix r/n/s 0.34/0.43/0.24 lr 2.1e-04 | 82 st/s
[ppo ] step  200704/500000 | vs random 1.00 vs negamax 0.74 (p1 0.78/p2 0.70) | ploss -0.026 vloss 0.432 ent 0.56 | mix r/n/s 0.33/0.43/0.24 lr 2.1e-04 | 82 st/s
[ppo ] step  202752/500000 | vs random 1.00 vs negamax 0.78 (p1 0.82/p2 0.74) | ploss -0.015 vloss 0.395 ent 0.59 | mix r/n/s 0.33/0.43/0.24 lr 2.0e-04 | 82 st/s
[ppo ] step  204800/500000 | vs random 0.97 vs negamax 0.83 (p1 0.90/p2 0.76) | ploss -0.021 vloss 0.429 ent 0.60 | mix r/n/s 0.33/0.43/0.24 lr 2.0e-04 | 82 st/s
[ppo ] step  206848/500000 | vs random 0.97 vs negamax 0.76 (p1 0.76/p2 0.76) | ploss -0.023 vloss 0.421 ent 0.61 | mix r/n/s 0.32/0.44/0.24 lr 2.0e-04 | 83 st/s
[ppo ] step  208896/500000 | vs random 0.99 vs negamax 0.75 (p1 0.80/p2 0.70) | ploss -0.025 vloss 0.436 ent 0.62 | mix r/n/s 0.32/0.44/0.24 lr 2.0e-04 | 83 st/s
[ppo ] step  210944/500000 | vs random 0.94 vs negamax 0.75 (p1 0.86/p2 0.64) | ploss -0.025 vloss 0.438 ent 0.62 | mix r/n/s 0.32/0.44/0.24 lr 2.0e-04 | 83 st/s
[ppo ] step  212992/500000 | vs random 0.99 vs negamax 0.76 (p1 0.84/p2 0.68) | ploss -0.024 vloss 0.403 ent 0.63 | mix r/n/s 0.31/0.44/0.24 lr 2.0e-04 | 83 st/s
[ppo ] step  215040/500000 | vs random 0.97 vs negamax 0.69 (p1 0.68/p2 0.70) | ploss -0.015 vloss 0.393 ent 0.62 | mix r/n/s 0.31/0.44/0.25 lr 1.9e-04 | 83 st/s
[ppo ] step  217088/500000 | vs random 0.99 vs negamax 0.75 (p1 0.94/p2 0.56) | ploss -0.025 vloss 0.445 ent 0.67 | mix r/n/s 0.31/0.45/0.25 lr 1.9e-04 | 83 st/s
[ppo ] step  219136/500000 | vs random 0.94 vs negamax 0.82 (p1 0.94/p2 0.70) | ploss -0.021 vloss 0.464 ent 0.58 | mix r/n/s 0.30/0.45/0.25 lr 1.9e-04 | 83 st/s
[ppo ] step  221184/500000 | vs random 0.97 vs negamax 0.72 (p1 0.80/p2 0.64) | ploss -0.020 vloss 0.420 ent 0.61 | mix r/n/s 0.30/0.45/0.25 lr 1.9e-04 | 84 st/s
[ppo ] step  223232/500000 | vs random 0.97 vs negamax 0.77 (p1 0.88/p2 0.66) | ploss -0.021 vloss 0.461 ent 0.55 | mix r/n/s 0.30/0.45/0.25 lr 1.9e-04 | 84 st/s
[ppo ] step  225280/500000 | vs random 0.98 vs negamax 0.75 (p1 0.82/p2 0.68) | ploss -0.019 vloss 0.340 ent 0.56 | mix r/n/s 0.30/0.45/0.25 lr 1.9e-04 | 84 st/s
[ppo ] step  227328/500000 | vs random 0.98 vs negamax 0.78 (p1 0.82/p2 0.74) | ploss -0.021 vloss 0.470 ent 0.57 | mix r/n/s 0.29/0.46/0.25 lr 1.8e-04 | 84 st/s
[ppo ] step  229376/500000 | vs random 0.96 vs negamax 0.80 (p1 0.86/p2 0.74) | ploss -0.020 vloss 0.391 ent 0.58 | mix r/n/s 0.29/0.46/0.25 lr 1.8e-04 | 84 st/s
[ppo ] step  231424/500000 | vs random 0.94 vs negamax 0.85 (p1 0.92/p2 0.78) | ploss -0.019 vloss 0.449 ent 0.55 | mix r/n/s 0.29/0.46/0.25 lr 1.8e-04 | 84 st/s
[ppo ] step  233472/500000 | vs random 0.98 vs negamax 0.85 (p1 0.94/p2 0.76) | ploss -0.024 vloss 0.399 ent 0.58 | mix r/n/s 0.28/0.46/0.25 lr 1.8e-04 | 85 st/s
[ppo ] step  235520/500000 | vs random 0.99 vs negamax 0.78 (p1 0.82/p2 0.74) | ploss -0.017 vloss 0.402 ent 0.55 | mix r/n/s 0.28/0.46/0.25 lr 1.8e-04 | 85 st/s
[ppo ] step  237568/500000 | vs random 0.94 vs negamax 0.85 (p1 0.92/p2 0.78) | ploss -0.010 vloss 0.452 ent 0.53 | mix r/n/s 0.28/0.47/0.26 lr 1.8e-04 | 85 st/s
[ppo ] step  239616/500000 | vs random 0.97 vs negamax 0.83 (p1 0.88/p2 0.78) | ploss -0.020 vloss 0.346 ent 0.56 | mix r/n/s 0.27/0.47/0.26 lr 1.7e-04 | 85 st/s
[ppo ] step  241664/500000 | vs random 0.96 vs negamax 0.80 (p1 0.86/p2 0.74) | ploss -0.026 vloss 0.315 ent 0.58 | mix r/n/s 0.27/0.47/0.26 lr 1.7e-04 | 85 st/s
[ppo ] step  243712/500000 | vs random 0.96 vs negamax 0.85 (p1 0.92/p2 0.78) | ploss -0.019 vloss 0.429 ent 0.58 | mix r/n/s 0.27/0.47/0.26 lr 1.7e-04 | 85 st/s
[ppo ] step  245760/500000 | vs random 0.98 vs negamax 0.78 (p1 0.86/p2 0.70) | ploss -0.017 vloss 0.412 ent 0.55 | mix r/n/s 0.27/0.47/0.26 lr 1.7e-04 | 85 st/s
