[grpo seed=0] training 500000 steps on cuda ...
[grpo] step  122454/500000 | vs random 0.94 vs negamax 0.23 (p1 0.32/p2 0.14) | ploss +0.079 ent 0.88 | train_wr 0.70 | mix r/n/s 0.48/0.33/0.19 lr 2.6e-04 | 84 st/s
[grpo] step  125510/500000 | vs random 0.94 vs negamax 0.31 (p1 0.32/p2 0.30) | ploss +0.037 ent 0.85 | train_wr 0.60 | mix r/n/s 0.47/0.33/0.19 lr 2.6e-04 | 85 st/s
[grpo] step  128379/500000 | vs random 0.96 vs negamax 0.29 (p1 0.34/p2 0.24) | ploss +0.101 ent 0.77 | train_wr 0.72 | mix r/n/s 0.46/0.34/0.20 lr 2.6e-04 | 86 st/s
[grpo] step  131243/500000 | vs random 0.93 vs negamax 0.40 (p1 0.44/p2 0.36) | ploss +0.078 ent 0.80 | train_wr 0.71 | mix r/n/s 0.46/0.34/0.20 lr 2.6e-04 | 86 st/s
[grpo] step  134457/500000 | vs random 0.98 vs negamax 0.31 (p1 0.36/p2 0.26) | ploss +0.064 ent 0.82 | train_wr 0.60 | mix r/n/s 0.45/0.35/0.20 lr 2.5e-04 | 87 st/s
[grpo] step  137557/500000 | vs random 0.99 vs negamax 0.37 (p1 0.50/p2 0.24) | ploss +0.012 ent 0.78 | train_wr 0.71 | mix r/n/s 0.45/0.35/0.20 lr 2.5e-04 | 88 st/s
[grpo] step  140408/500000 | vs random 0.95 vs negamax 0.36 (p1 0.32/p2 0.40) | ploss +0.049 ent 0.69 | train_wr 0.76 | mix r/n/s 0.44/0.36/0.20 lr 2.5e-04 | 89 st/s
[grpo] step  143780/500000 | vs random 0.96 vs negamax 0.31 (p1 0.40/p2 0.22) | ploss +0.004 ent 0.77 | train_wr 0.53 | mix r/n/s 0.43/0.36/0.21 lr 2.5e-04 | 89 st/s
[grpo] step  146814/500000 | vs random 0.97 vs negamax 0.35 (p1 0.34/p2 0.36) | ploss +0.020 ent 0.67 | train_wr 0.65 | mix r/n/s 0.43/0.36/0.21 lr 2.5e-04 | 90 st/s
[grpo] step  149895/500000 | vs random 0.94 vs negamax 0.38 (p1 0.44/p2 0.32) | ploss -0.001 ent 0.62 | train_wr 0.71 | mix r/n/s 0.42/0.37/0.21 lr 2.4e-04 | 91 st/s
[grpo] step  153086/500000 | vs random 0.97 vs negamax 0.43 (p1 0.46/p2 0.40) | ploss +0.035 ent 0.62 | train_wr 0.65 | mix r/n/s 0.42/0.37/0.21 lr 2.4e-04 | 91 st/s
[grpo] step  156607/500000 | vs random 0.96 vs negamax 0.46 (p1 0.54/p2 0.38) | ploss -0.029 ent 0.68 | train_wr 0.65 | mix r/n/s 0.41/0.38/0.21 lr 2.4e-04 | 92 st/s
[grpo] step  159870/500000 | vs random 0.97 vs negamax 0.40 (p1 0.46/p2 0.34) | ploss +0.034 ent 0.64 | train_wr 0.67 | mix r/n/s 0.40/0.38/0.22 lr 2.4e-04 | 93 st/s
